method,value,type
SEDR,1.0177173712231078,CLISI
SEDR,1.0388142801468068,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.0220352561165598,CLISI
SEDR,1.686212180864155,CLISI
SEDR,1.0510629915935328,CLISI
SEDR,1.043162925365469,CLISI
SEDR,1.0088041848278644,CLISI
SEDR,1.868886736253914,CLISI
SEDR,1.2492063586259106,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,2.6165016324604973,CLISI
SEDR,1.495144546914788,CLISI
SEDR,1.2530569756400123,CLISI
SEDR,1.9653388542110615,CLISI
SEDR,1.9817969034681089,CLISI
SEDR,1.1867071671874085,CLISI
SEDR,1.2751972993534244,CLISI
SEDR,1.2008069388614038,CLISI
SEDR,1.0851179333781644,CLISI
SEDR,1.0,CLISI
SEDR,1.5797719720818835,CLISI
SEDR,1.3502710081195735,CLISI
SEDR,1.6122722266555969,CLISI
SEDR,2.00986559150618,CLISI
SEDR,1.0,CLISI
SEDR,1.420337124165575,CLISI
SEDR,1.8703683574691696,CLISI
SEDR,1.9394131315922043,CLISI
SEDR,1.6729150771208483,CLISI
SEDR,2.0883769018355887,CLISI
SEDR,1.0146881635706657,CLISI
SEDR,1.1365166848306447,CLISI
SEDR,1.7667444570474637,CLISI
SEDR,2.7977337552955968,CLISI
SEDR,1.7265603224703276,CLISI
SEDR,1.2646608091107083,CLISI
SEDR,1.7273988339453077,CLISI
SEDR,1.5182015398360922,CLISI
SEDR,1.3211663596137313,CLISI
SEDR,1.187020060330353,CLISI
SEDR,2.9957734697468696,CLISI
SEDR,1.4558624546311791,CLISI
SEDR,1.0594933221344238,CLISI
SEDR,1.3065991596201667,CLISI
SEDR,1.3054406407301553,CLISI
SEDR,1.1152626190903094,CLISI
SEDR,1.2469694731654961,CLISI
SEDR,1.3232687356984745,CLISI
SEDR,1.0267223722740024,CLISI
SEDR,1.3925723880136618,CLISI
SEDR,1.26531805506955,CLISI
SEDR,1.6583855380549448,CLISI
SEDR,1.0,CLISI
SEDR,1.0688065775732687,CLISI
SEDR,2.1501168747571433,CLISI
SEDR,1.6221700340834253,CLISI
SEDR,1.6961437520998683,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,2.490805871896004,CLISI
SEDR,2.7805408147912343,CLISI
SEDR,1.0360987173070888,CLISI
SEDR,1.437471882781412,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.0,CLISI
SEDR,1.151042080529103,CLISI
SEDR,1.7761426334177666,CLISI
SEDR,1.786344545577093,CLISI
SEDR,1.9517454800822047,CLISI
SEDR,2.126965578618813,CLISI
SEDR,1.0,CLISI
SEDR,1.0104698750904206,CLISI
SEDR,1.8997944963942173,CLISI
SEDR,1.2270130791385463,CLISI
SEDR,1.502887990057243,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,2.1386808385733156,CLISI
SEDR,1.0087736399675649,CLISI
SEDR,1.0,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,2.15648753140248,CLISI
SEDR,2.0275064686492006,CLISI
SEDR,1.010894596311059,CLISI
SEDR,1.4515154439297908,CLISI
SEDR,1.9663237280450796,CLISI
SEDR,1.5247227571843955,CLISI
SEDR,1.674870704253638,CLISI
SEDR,2.199316624599701,CLISI
SEDR,1.6318616260716443,CLISI
SEDR,1.121802954267409,CLISI
SEDR,1.0,CLISI
SEDR,1.990775779159153,CLISI
SEDR,1.2233067663953832,CLISI
SEDR,1.005414078821349,CLISI
SEDR,1.0561145038044326,CLISI
SEDR,1.8129204987648855,CLISI
SEDR,2.535555421080824,CLISI
SEDR,1.846456621862814,CLISI
SEDR,2.534355606384996,CLISI
SEDR,1.099161663539935,CLISI
SEDR,1.1293690249042998,CLISI
SEDR,1.0327700060221916,CLISI
SEDR,2.406448528825084,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.1787261255402768,CLISI
SEDR,1.943272694186254,CLISI
SEDR,1.0217711036902133,CLISI
SEDR,1.158876542626312,CLISI
SEDR,1.6215636542717144,CLISI
SEDR,2.057766859764476,CLISI
SEDR,1.1920275308922792,CLISI
SEDR,1.116617844174417,CLISI
SEDR,1.0249779556922707,CLISI
SEDR,2.28952531236684,CLISI
SEDR,1.0,CLISI
SEDR,2.7955418323834924,CLISI
SEDR,2.585731958604519,CLISI
SEDR,2.0957818377073707,CLISI
SEDR,1.9077122788106131,CLISI
SEDR,2.583941982238739,CLISI
SEDR,1.587389222169106,CLISI
SEDR,1.0572875079621884,CLISI
SEDR,2.1812828405028655,CLISI
SEDR,1.3008299039763311,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.6949112990870696,CLISI
SEDR,1.1197961118947035,CLISI
SEDR,1.6203513334811634,CLISI
SEDR,1.1904517622490376,CLISI
SEDR,3.66213398311888,CLISI
SEDR,1.5033705695223216,CLISI
SEDR,1.2543100414929915,CLISI
SEDR,1.1316490082033464,CLISI
SEDR,1.912976345467497,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,2.3514771186583583,CLISI
SEDR,1.0364862242349338,CLISI
SEDR,1.4957478999210674,CLISI
SEDR,1.0377440994630953,CLISI
SEDR,1.0,CLISI
SEDR,1.065861014794306,CLISI
SEDR,1.7804351122103437,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.5018275218495845,CLISI
SEDR,1.8127770636853715,CLISI
SEDR,1.095724780741432,CLISI
SEDR,1.736541195107445,CLISI
SEDR,2.2144243066547644,CLISI
SEDR,1.0329603228658755,CLISI
SEDR,1.0467564337864623,CLISI
SEDR,1.8307514725230638,CLISI
SEDR,2.2702645487207023,CLISI
SEDR,2.042075917139369,CLISI
SEDR,1.0,CLISI
SEDR,1.1609418230619533,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.017503701794926,CLISI
SEDR,2.0863096719271677,CLISI
SEDR,1.5929656779607693,CLISI
SEDR,2.9812863938525895,CLISI
SEDR,2.492576586836239,CLISI
SEDR,1.1956623795205519,CLISI
SEDR,1.0648926337227675,CLISI
SEDR,1.5218235821483035,CLISI
SEDR,1.7494133449870586,CLISI
SEDR,1.0192366109768747,CLISI
SEDR,1.5477134735763483,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.077189628872167,CLISI
SEDR,1.7359050718591469,CLISI
SEDR,1.5381048672342006,CLISI
SEDR,1.624280879524774,CLISI
SEDR,1.6378055407156846,CLISI
SEDR,1.1226363013089278,CLISI
SEDR,1.942720928499511,CLISI
SEDR,1.0,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.9705993901135037,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.0024349777855106,CLISI
SEDR,1.1879909849952361,CLISI
SEDR,1.1264722495450188,CLISI
SEDR,1.9238216480399517,CLISI
SEDR,2.1383140888712675,CLISI
SEDR,1.3793239544132208,CLISI
SEDR,1.3772404796126285,CLISI
SEDR,1.2793880496563153,CLISI
SEDR,1.0647280973825655,CLISI
SEDR,1.2998599062745269,CLISI
SEDR,1.2771174855147238,CLISI
SEDR,1.6532846170165008,CLISI
SEDR,1.9113920735963739,CLISI
SEDR,1.6798961140087885,CLISI
SEDR,1.1325105146646837,CLISI
SEDR,1.7753283267759983,CLISI
SEDR,1.0959096517216675,CLISI
SEDR,1.9999572545818303,CLISI
SEDR,2.5963673486653454,CLISI
SEDR,1.2244559532865034,CLISI
SEDR,1.7267657840682342,CLISI
SEDR,1.851737668925494,CLISI
SEDR,1.554212933950556,CLISI
SEDR,1.6276777142953684,CLISI
SEDR,1.040272423204815,CLISI
SEDR,2.343876561423542,CLISI
SEDR,2.77293256042919,CLISI
SEDR,1.0436089574705554,CLISI
SEDR,2.0087089110261824,CLISI
SEDR,1.070728979666914,CLISI
SEDR,3.0716374852873987,CLISI
SEDR,1.0,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.0,CLISI
SEDR,1.3971904086238018,CLISI
SEDR,1.2014712281933344,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.1006517837827643,CLISI
SEDR,1.1113595620284604,CLISI
SEDR,2.6303083135765872,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.1088426294716422,CLISI
SEDR,1.110398107688899,CLISI
SEDR,1.095013573704683,CLISI
SEDR,1.0090680210286938,CLISI
SEDR,1.1239528490313688,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.0357925039477314,CLISI
SEDR,1.4489287975586627,CLISI
SEDR,1.0000000000000004,CLISI
SEDR,1.4526444991056906,CLISI
SEDR,1.0256213381478485,CLISI
SEDR,1.0441021686151328,CLISI
SEDR,1.045090998485958,CLISI
SEDR,1.396071699295001,CLISI
SEDR,1.4281560661386472,CLISI
SEDR,1.0653565817293809,CLISI
SEDR,1.6527957087840472,CLISI
SEDR,1.5840905741687081,CLISI
SEDR,2.045931577417362,CLISI
SEDR,1.7702924640379403,CLISI
SEDR,1.6233918198669115,CLISI
SEDR,1.5725964733046938,CLISI
SEDR,1.5078429756624907,CLISI
SEDR,2.4117868284134936,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.4597323589850961,CLISI
SEDR,1.1322169060325162,CLISI
SEDR,1.796638754574138,CLISI
SEDR,2.027669917655994,CLISI
SEDR,1.810839247154468,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,2.356636188690226,CLISI
SEDR,2.54685421673958,CLISI
SEDR,1.895897601826206,CLISI
SEDR,1.0,CLISI
SEDR,1.6944227732042585,CLISI
SEDR,1.9966871643899389,CLISI
SEDR,1.1862247443106353,CLISI
SEDR,1.054576879340937,CLISI
SEDR,1.889561756598493,CLISI
SEDR,1.9561975484382672,CLISI
SEDR,1.9999192152493286,CLISI
SEDR,1.100305935340768,CLISI
SEDR,2.1654313829431273,CLISI
SEDR,1.0,CLISI
SEDR,1.264082030899402,CLISI
SEDR,1.0056239946472683,CLISI
SEDR,1.203103199130481,CLISI
SEDR,1.094333175505285,CLISI
SEDR,2.7112998778762543,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.3875069280634484,CLISI
SEDR,1.0,CLISI
SEDR,1.61388941210683,CLISI
SEDR,2.0722569615771347,CLISI
SEDR,1.7718171787493942,CLISI
SEDR,1.138673917902809,CLISI
SEDR,1.295391772394782,CLISI
SEDR,1.1770645326304334,CLISI
SEDR,1.0107941073437263,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.0,CLISI
SEDR,1.0065768768472876,CLISI
SEDR,1.006874614626669,CLISI
SEDR,1.234550760152135,CLISI
SEDR,1.9791225465727151,CLISI
SEDR,1.9954330683584582,CLISI
SEDR,1.3707906356173871,CLISI
SEDR,1.0,CLISI
SEDR,1.5831458553362703,CLISI
SEDR,1.5345875483945843,CLISI
SEDR,1.0232280379171224,CLISI
SEDR,1.1693662834854288,CLISI
SEDR,1.0046633385963069,CLISI
SEDR,1.1020661055382492,CLISI
SEDR,1.9440331310221424,CLISI
SEDR,1.153313588913352,CLISI
SEDR,2.0712908626045667,CLISI
SEDR,1.3949300890680736,CLISI
SEDR,2.3701689280459672,CLISI
SEDR,1.1740347390414303,CLISI
SEDR,2.173927909904268,CLISI
SEDR,1.744473167217729,CLISI
SEDR,1.0360648411763445,CLISI
SEDR,1.9636256391047215,CLISI
SEDR,1.753852296493502,CLISI
SEDR,1.042716276636789,CLISI
SEDR,1.0,CLISI
SEDR,1.0272468241202393,CLISI
SEDR,1.8265573564236597,CLISI
SEDR,1.1877756973821012,CLISI
SEDR,2.088256977878791,CLISI
SEDR,2.724436127320695,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.3159015305143922,CLISI
SEDR,1.3013233824653685,CLISI
SEDR,1.0228393726111902,CLISI
SEDR,1.5578404906258534,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.9627866682471555,CLISI
SEDR,1.8894537383284993,CLISI
SEDR,2.0604248501155893,CLISI
SEDR,1.2290531019184086,CLISI
SEDR,1.0365256390807387,CLISI
SEDR,1.2672450255619587,CLISI
SEDR,1.0,CLISI
SEDR,1.6530296346799696,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.6042511407941316,CLISI
SEDR,1.0,CLISI
SEDR,1.0971269242104302,CLISI
SEDR,1.1902178773819123,CLISI
SEDR,1.1619570722364811,CLISI
SEDR,1.2729816481048875,CLISI
SEDR,1.2259327317013102,CLISI
SEDR,1.0,CLISI
SEDR,1.6776182942167865,CLISI
SEDR,1.135018925016038,CLISI
SEDR,1.336847068885891,CLISI
SEDR,1.0,CLISI
SEDR,1.0181655661370592,CLISI
SEDR,1.0052714244455778,CLISI
SEDR,1.219528935789071,CLISI
SEDR,1.0,CLISI
SEDR,1.004252615022414,CLISI
SEDR,1.026973043633567,CLISI
SEDR,1.682227454301775,CLISI
SEDR,1.0942043581551442,CLISI
SEDR,1.0815559774008754,CLISI
SEDR,1.0311822003535163,CLISI
SEDR,1.0770235986976695,CLISI
SEDR,1.8747735030966415,CLISI
SEDR,1.0717191339106082,CLISI
SEDR,3.67398989029967,CLISI
SEDR,1.659614849629593,CLISI
SEDR,1.9772488773663743,CLISI
SEDR,1.2609810761919773,CLISI
SEDR,1.571696783348371,CLISI
SEDR,1.4498266538006268,CLISI
SEDR,1.2534164502145586,CLISI
SEDR,1.5528572375088063,CLISI
SEDR,1.0283261583382284,CLISI
SEDR,1.4875143599454732,CLISI
SEDR,2.3659586016462333,CLISI
SEDR,1.3652478297774926,CLISI
SEDR,1.9734063808737656,CLISI
SEDR,1.0065343779919096,CLISI
SEDR,1.727411840238927,CLISI
SEDR,1.5204771228973861,CLISI
SEDR,1.9445172793543333,CLISI
SEDR,1.0042113766613838,CLISI
SEDR,1.0000000000000002,CLISI
SEDR,1.8784218995781639,CLISI
SEDR,1.3544346062538097,CLISI
SEDR,1.1411384969125338,CLISI
SEDR,1.5820813895197083,CLISI
SEDR,1.9610033402172597,CLISI
SEDR,1.1355374307669868,CLISI
SEDR,2.0375545588176918,CLISI
SEDR,1.7064183730047848,CLISI
SEDR,1.068434304177656,CLISI
SEDR,1.1946971591330704,CLISI
SEDR,2.115809571037864,CLISI
SEDR,1.8892205768340582,CLISI
SEDR,0.9999999999999996,CLISI
SEDR,1.4275695000275412,CLISI
SEDR,1.1327739247539372,CLISI
