method,value,type
SEDR,1.9119956208487703,ILISI
SEDR,1.4743084620843576,ILISI
SEDR,1.9973340472504342,ILISI
SEDR,1.4442745325330513,ILISI
SEDR,1.5493643384126885,ILISI
SEDR,1.6353462633352736,ILISI
SEDR,1.9443453763199996,ILISI
SEDR,1.4584269271665626,ILISI
SEDR,1.3254807476480395,ILISI
SEDR,1.6416624659938157,ILISI
SEDR,1.2390585545869783,ILISI
SEDR,1.5000777345653402,ILISI
SEDR,1.4033307812960214,ILISI
SEDR,1.1636376343994812,ILISI
SEDR,1.4476181835460005,ILISI
SEDR,1.867869996739252,ILISI
SEDR,1.577087611029982,ILISI
SEDR,1.4158435245922658,ILISI
SEDR,1.535758459903836,ILISI
SEDR,1.2975393159150248,ILISI
SEDR,1.516285837604609,ILISI
SEDR,1.3244753111291288,ILISI
SEDR,1.7537775038222883,ILISI
SEDR,1.2842445099852742,ILISI
SEDR,1.4276863409368779,ILISI
SEDR,1.994438212794763,ILISI
SEDR,1.9764227416401097,ILISI
SEDR,1.5631742189124906,ILISI
SEDR,1.3206267485787286,ILISI
SEDR,1.5384697742623612,ILISI
SEDR,1.6027901343398183,ILISI
SEDR,1.7049789308429435,ILISI
SEDR,1.19830430148785,ILISI
SEDR,1.9416086818930915,ILISI
SEDR,1.5713167034599866,ILISI
SEDR,1.3632937894456827,ILISI
SEDR,1.7457108832000374,ILISI
SEDR,1.994507916302722,ILISI
SEDR,1.7410750373020536,ILISI
SEDR,1.9887001531908206,ILISI
SEDR,1.8691796005309318,ILISI
SEDR,1.379410604516425,ILISI
SEDR,1.4296408041798025,ILISI
SEDR,1.9122896735082087,ILISI
SEDR,1.4107915499468604,ILISI
SEDR,1.9148010495738357,ILISI
SEDR,1.4290794134975253,ILISI
SEDR,1.4794636604251366,ILISI
SEDR,1.205042070680799,ILISI
SEDR,1.8956646993697135,ILISI
SEDR,1.316852008024083,ILISI
SEDR,1.7804990962378666,ILISI
SEDR,1.4409573031343474,ILISI
SEDR,1.6369434050045453,ILISI
SEDR,1.8016634788365335,ILISI
SEDR,1.300550496612722,ILISI
SEDR,1.9364050927520104,ILISI
SEDR,1.859219628653325,ILISI
SEDR,1.4052884221914927,ILISI
SEDR,1.7652063737376384,ILISI
SEDR,1.8116213790893143,ILISI
SEDR,1.5245636576283772,ILISI
SEDR,1.4397978836373089,ILISI
SEDR,1.9924038602750038,ILISI
SEDR,1.5510523855139404,ILISI
SEDR,1.9117625843233437,ILISI
SEDR,1.8780534550417658,ILISI
SEDR,1.354392506182152,ILISI
SEDR,1.887572058210788,ILISI
SEDR,1.9846392497945005,ILISI
SEDR,1.6949631261311142,ILISI
SEDR,1.4145039410687552,ILISI
SEDR,1.964070596122939,ILISI
SEDR,1.7756996205558881,ILISI
SEDR,1.6013003412892095,ILISI
SEDR,1.4578529679228525,ILISI
SEDR,1.5769673213399544,ILISI
SEDR,1.250689522697774,ILISI
